"codanum","ioi_i","ioi"
"DSWP1916","2",0.1019
"DSWP1916","3",0.0896
"DSWP1916","4",0.0781
"DSWP1917","1",0.0888
"DSWP1917","2",0.1177
"DSWP1917","3",0.0778
"DSWP1917","4",0.0553
"DSWP1918","1",0.095
"DSWP1918","2",0.1082
"DSWP1918","3",0.0682
"DSWP1918","4",0.0523
"DSWP1919","1",0.0978
"DSWP1919","2",0.1036
"DSWP1919","3",0.0686
"DSWP1919","4",0.0556
"DSWP1920","1",0.0848
"DSWP1920","2",0.1123
"DSWP1920","3",0.0858
"DSWP1920","4",0.0529
"DSWP1921","1",0.0935
"DSWP1921","2",0.1046
"DSWP1921","3",0.0838
"DSWP1921","4",0.0634
"DSWP1922","1",0.0847
"DSWP1922","2",0.1156
"DSWP1922","3",0.077
"DSWP1922","4",0.0537
"DSWP1923","1",0.0904
"DSWP1923","2",0.0972
"DSWP1923","3",0.0732
"DSWP1923","4",0.048
"DSWP1924","1",0.0876
"DSWP1924","2",0.1001
"DSWP1924","3",0.0757
"DSWP1924","4",0.0667
"DSWP1925","1",0.0884
"DSWP1925","2",0.0987
"DSWP1925","3",0.0823
"DSWP1925","4",0.0524
"DSWP1926","1",0.0928
"DSWP1926","2",0.112
"DSWP1926","3",0.0786
"DSWP1926","4",0.0612
"DSWP1927","1",0.0807
"DSWP1927","2",0.1081
"DSWP1927","3",0.067
"DSWP1927","4",0.075
"DSWP1928","1",0.5156
"DSWP1928","2",0.5035
"DSWP1928","3",0.254
"DSWP1928","4",0.2254
"DSWP1929","1",0.5085
"DSWP1929","2",0.4911
"DSWP1929","3",0.2415
"DSWP1929","4",0.2319
"DSWP1930","1",0.5002
"DSWP1930","2",0.4746
"DSWP1930","3",0.2505
"DSWP1930","4",0.2265
"DSWP1931","1",0.5054
"DSWP1931","2",0.4549
"DSWP1931","3",0.1806
"DSWP1931","4",0.1816
"DSWP1932","1",0.4922
"DSWP1932","2",0.4325
"DSWP1932","3",0.1672
"DSWP1932","4",0.1857
"DSWP1933","1",0.2783
"DSWP1933","2",0.2756
"DSWP1933","3",0.1835
"DSWP1933","4",0.1466
"DSWP1934","1",0.2653
"DSWP1934","2",0.2744
"DSWP1934","3",0.175
"DSWP1934","4",0.1576
"DSWP1935","1",0.2829
"DSWP1935","2",0.2972
"DSWP1935","3",0.156
"DSWP1935","4",0.1567
"DSWP1936","1",0.2702
"DSWP1936","2",0.2767
"DSWP1936","3",0.1554
"DSWP1936","4",0.1465
"DSWP1937","1",0.2281
"DSWP1937","2",0.2588
"DSWP1937","3",0.1635
"DSWP1937","4",0.1447
"DSWP1938","1",0.2599
"DSWP1938","2",0.2751
"DSWP1938","3",0.1512
"DSWP1938","4",0.1544
"DSWP1939","1",0.2223
"DSWP1939","2",0.288
"DSWP1939","3",0.1645
"DSWP1939","4",0.1424
"DSWP1940","1",0.2517
"DSWP1940","2",0.2451
"DSWP1940","3",0.1581
"DSWP1940","4",0.1443
"DSWP1941","1",0.2416
"DSWP1941","2",0.311
"DSWP1941","3",0.1606
"DSWP1941","4",0.1484
"DSWP1942","1",0.2504
"DSWP1942","2",0.2535
"DSWP1942","3",0.1644
"DSWP1942","4",0.1487
"DSWP1943","1",0.2273
"DSWP1943","2",0.2562
"DSWP1943","3",0.1612
"DSWP1943","4",0.1525
"DSWP1944","1",0.1885
"DSWP1944","2",0.2755
"DSWP1944","3",0.1686
"DSWP1944","4",0.144
"DSWP1945","1",0.2562
"DSWP1945","2",0.2752
"DSWP1945","3",0.1633
"DSWP1945","4",0.1605
"DSWP1946","1",0.2593
"DSWP1946","2",0.2637
"DSWP1946","3",0.1744
"DSWP1946","4",0.1434
"DSWP1947","1",0.2272
"DSWP1947","2",0.2301
"DSWP1947","3",0.1797
"DSWP1947","4",0.1124
"DSWP1948","1",0.2338
"DSWP1948","2",0.2614
"DSWP1948","3",0.1676
"DSWP1948","4",0.1484
"DSWP1949","1",0.2485
"DSWP1949","2",0.2641
"DSWP1949","3",0.1776
"DSWP1949","4",0.1338
"DSWP1950","1",0.3213
"DSWP1950","2",0.2809
"DSWP1950","3",0.1792
"DSWP1950","4",0.1623
"DSWP1951","1",0.0919
"DSWP1951","2",0.1071
"DSWP1951","3",0.0828
"DSWP1951","4",0.0555
"DSWP1951","5",0.0997
"DSWP1952","1",0.0305
"DSWP1952","2",0.043
"DSWP1952","3",0.0492
"DSWP1952","4",0.0487
"DSWP1952","5",0.0465
"DSWP1952","6",0.0583
"DSWP1952","7",0.0589
"DSWP1953","1",0.1863
"DSWP1953","2",0.285
"DSWP1953","3",0.1584
"DSWP1953","4",0.1397
"DSWP1954","1",0.2021
"DSWP1954","2",0.2639
"DSWP1954","3",0.1878
"DSWP1954","4",0.1323
"DSWP1955","1",0.2486
"DSWP1955","2",0.2425
"DSWP1955","3",0.1779
"DSWP1955","4",0.1463
"DSWP1956","1",0.2295
"DSWP1956","2",0.2438
"DSWP1956","3",0.1817
"DSWP1956","4",0.1482
"DSWP1957","1",0.2523
"DSWP1957","2",0.2768
"DSWP1957","3",0.1596
"DSWP1957","4",0.1617
"DSWP1958","1",0.1875
"DSWP1958","2",0.2123
"DSWP1958","3",0.1877
"DSWP1959","1",0.046
"DSWP1959","2",0.2223
"DSWP1959","3",0.1911
"DSWP1959","4",0.1761
"DSWP1960","1",0.4722
"DSWP1960","2",0.456
"DSWP1960","3",0.2141
"DSWP1960","4",0.2199
"DSWP1961","1",0.479
"DSWP1961","2",0.4505
"DSWP1961","3",0.2347
"DSWP1961","4",0.2152
"DSWP1962","1",0.4729
"DSWP1962","2",0.4483
"DSWP1962","3",0.2196
"DSWP1962","4",0.2152
"DSWP1963","1",0.4775
"DSWP1963","2",0.4661
"DSWP1963","3",0.2238
"DSWP1963","4",0.2036
"DSWP1964","1",0.5007
"DSWP1964","2",0.4781
"DSWP1964","3",0.2081
"DSWP1964","4",0.2166
"DSWP1965","1",0.4971
"DSWP1965","2",0.4678
"DSWP1965","3",0.1927
"DSWP1965","4",0.2205
"DSWP1966","1",0.4905
"DSWP1966","2",0.4812
"DSWP1966","3",0.2132
"DSWP1966","4",0.232
"DSWP1967","1",0.506
"DSWP1967","2",0.4867
"DSWP1967","3",0.2079
"DSWP1967","4",0.2355
"DSWP1968","1",0.5007
"DSWP1968","2",0.4678
"DSWP1968","3",0.2214
"DSWP1968","4",0.2278
"DSWP1969","1",0.5018
"DSWP1969","2",0.4802
"DSWP1969","3",0.2203
"DSWP1969","4",0.2285
"DSWP1970","1",0.4917
"DSWP1970","2",0.4791
"DSWP1970","3",0.2161
"DSWP1970","4",0.2288
"DSWP1971","1",0.5025
"DSWP1971","2",0.4602
"DSWP1971","3",0.2195
"DSWP1971","4",0.225
"DSWP1972","1",0.5093
"DSWP1972","2",0.4562
"DSWP1972","3",0.2205
"DSWP1972","4",0.2341
"DSWP1973","1",0.4823
"DSWP1973","2",0.4511
"DSWP1973","3",0.2039
"DSWP1973","4",0.2276
"DSWP1974","1",0.4729
"DSWP1974","2",0.4561
"DSWP1974","3",0.1917
"DSWP1974","4",0.1895
"DSWP1975","1",0.462
"DSWP1975","2",0.397
"DSWP1975","3",0.1973
"DSWP1975","4",0.1806
"DSWP1976","1",0.1055
"DSWP1976","2",0.0844
"DSWP1976","3",0.0849
"DSWP1976","4",0.0948
"DSWP1976","5",0.126
"DSWP1977","1",0.0628
"DSWP1977","2",0.0428
"DSWP1977","3",0.0434
"DSWP1977","4",0.0584
"DSWP1977","5",0.0656
"DSWP1977","6",0.0924
"DSWP1977","7",0.1199
"DSWP1978","1",0.4925
"DSWP1978","2",0.455
"DSWP1978","3",0.2116
"DSWP1978","4",0.2116
"DSWP1979","1",0.4297
"DSWP1979","2",0.4166
"DSWP1979","3",0.1755
"DSWP1979","4",0.1911
"DSWP1980","1",0.457
"DSWP1980","2",0.4547
"DSWP1980","3",0.2077
"DSWP1980","4",0.2112
"DSWP1981","1",0.4562
"DSWP1981","2",0.4424
"DSWP1981","3",0.1888
"DSWP1981","4",0.2095
"DSWP1982","1",0.4584
"DSWP1982","2",0.4371
"DSWP1982","3",0.1851
"DSWP1982","4",0.1987
"DSWP1983","1",0.4493
"DSWP1983","2",0.4168
"DSWP1983","3",0.1868
"DSWP1983","4",0.1946
"DSWP1984","1",0.4368
"DSWP1984","2",0.4298
"DSWP1984","3",0.2058
"DSWP1984","4",0.2
"DSWP1985","1",0.4446
"DSWP1985","2",0.4175
"DSWP1985","3",0.1822
"DSWP1985","4",0.1926
"DSWP1986","1",0.4534
"DSWP1986","2",0.4586
"DSWP1986","3",0.2171
"DSWP1986","4",0.2034
"DSWP1987","1",0.4577
"DSWP1987","2",0.4607
"DSWP1987","3",0.2268
"DSWP1987","4",0.2146
"DSWP1988","1",0.469
"DSWP1988","2",0.4435
"DSWP1988","3",0.2376
"DSWP1988","4",0.1855
"DSWP1989","1",0.4767
"DSWP1989","2",0.4176
"DSWP1989","3",0.2354
"DSWP1989","4",0.2248
"DSWP1990","1",0.4526
"DSWP1990","2",0.4195
"DSWP1990","3",0.181
"DSWP1990","4",0.2073
"DSWP1991","1",0.4829
"DSWP1991","2",0.4255
"DSWP1991","3",0.1929
"DSWP1991","4",0.2031
"DSWP1992","1",0.4792
"DSWP1992","2",0.4284
"DSWP1992","3",0.213
"DSWP1992","4",0.2086
"DSWP1993","1",0.4732
"DSWP1993","2",0.4406
"DSWP1993","3",0.2105
"DSWP1993","4",0.2103
"DSWP1994","1",0.4492
"DSWP1994","2",0.4282
"DSWP1994","3",0.1754
"DSWP1994","4",0.1881
"DSWP1995","1",0.4484
"DSWP1995","2",0.4282
"DSWP1995","3",0.1724
"DSWP1995","4",0.1788
"DSWP1996","1",0.4398
"DSWP1996","2",0.4222
"DSWP1996","3",0.1731
"DSWP1996","4",0.1829
"DSWP1997","1",0.4466
"DSWP1997","2",0.4295
"DSWP1997","3",0.1757
"DSWP1997","4",0.1726
"DSWP1998","1",0.473
"DSWP1998","2",0.4461
"DSWP1998","3",0.1898
"DSWP1998","4",0.2065
"DSWP1999","1",0.4504
"DSWP1999","2",0.4286
"DSWP1999","3",0.1882
"DSWP1999","4",0.1931
"DSWP2000","1",0.4734
"DSWP2000","2",0.4116
"DSWP2000","3",0.1994
"DSWP2000","4",0.1932
"DSWP2001","1",0.4674
"DSWP2001","2",0.4297
"DSWP2001","3",0.1967
"DSWP2001","4",0.2053
"DSWP2002","1",0.4623
"DSWP2002","2",0.4315
"DSWP2002","3",0.1908
"DSWP2002","4",0.2017
"DSWP2003","1",0.4695
"DSWP2003","2",0.4394
"DSWP2003","3",0.1948
"DSWP2003","4",0.1945
"DSWP2004","1",0.4846
"DSWP2004","2",0.4671
"DSWP2004","3",0.212
"DSWP2004","4",0.1732
"DSWP2005","1",0.4837
"DSWP2005","2",0.4587
"DSWP2005","3",0.2181
"DSWP2005","4",0.2105
"DSWP2006","1",0.4472
"DSWP2006","2",0.4661
"DSWP2006","3",0.2241
"DSWP2006","4",0.2117
"DSWP2007","1",0.4734
"DSWP2007","2",0.4146
"DSWP2007","3",0.1743
"DSWP2007","4",0.1835
"DSWP2008","1",0.4204
"DSWP2008","2",0.3942
"DSWP2008","3",0.1971
"DSWP2008","4",0.1757
"DSWP2009","1",0.4352
"DSWP2009","2",0.419
"DSWP2009","3",0.1982
"DSWP2009","4",0.1749
"DSWP2010","1",0.4246
"DSWP2010","2",0.4106
"DSWP2010","3",0.1908
"DSWP2010","4",0.1836
"DSWP2011","1",0.4069
"DSWP2011","2",0.3877
"DSWP2011","3",0.1719
"DSWP2011","4",0.1773
"DSWP2012","1",0.4051
"DSWP2012","2",0.3864
"DSWP2012","3",0.1873
"DSWP2012","4",0.1795
"DSWP2013","1",0.2425
"DSWP2013","2",0.2214
"DSWP2013","3",0.2288
"DSWP2013","4",0.2296
"DSWP2013","5",0.2365
"DSWP2014","1",0.0392
"DSWP2014","2",0.0403
"DSWP2014","3",0.0439
"DSWP2014","4",0.05
"DSWP2014","5",0.0407
"DSWP2014","6",0.1032
"DSWP2014","7",0.0411
"DSWP2014","8",0.089
"DSWP2015","1",0.4699
"DSWP2015","2",0.4112
"DSWP2015","3",0.1911
"DSWP2015","4",0.2101
"DSWP2016","1",0.4948
"DSWP2016","2",0.4406
"DSWP2016","3",0.2311
"DSWP2016","4",0.2059
"DSWP2017","1",0.397
"DSWP2017","2",0.3825
"DSWP2017","3",0.1633
"DSWP2017","4",0.1912
"DSWP2018","1",0.2755
"DSWP2018","2",0.2831
"DSWP2018","3",0.1746
"DSWP2018","4",0.1521
"DSWP2019","1",0.275
"DSWP2019","2",0.2804
"DSWP2019","3",0.1601
"DSWP2019","4",0.1807
"DSWP2020","1",0.2579
"DSWP2020","2",0.282
"DSWP2020","3",0.1687
"DSWP2020","4",0.1549
"DSWP2021","1",0.1555
"DSWP2021","2",0.1415
"DSWP2021","3",0.1303
"DSWP2021","4",0.13
"DSWP2022","1",0.2744
"DSWP2022","2",0.2802
"DSWP2022","3",0.1734
"DSWP2022","4",0.1571
"DSWP2023","1",0.2673
"DSWP2023","2",0.2773
"DSWP2023","3",0.1724
"DSWP2023","4",0.1617
"DSWP2024","1",0.2714
"DSWP2024","2",0.2972
"DSWP2024","3",0.1657
"DSWP2024","4",0.1638
"DSWP2025","1",0.2793
"DSWP2025","2",0.279
"DSWP2025","3",0.1705
"DSWP2025","4",0.1588
"DSWP2026","1",0.1603
"DSWP2026","2",0.1569
"DSWP2026","3",0.1614
"DSWP2026","4",0.2934
"DSWP2027","1",0.3002
"DSWP2027","2",0.2999
"DSWP2027","3",0.2844
"DSWP2027","4",0.283
"DSWP2027","5",0.2999
"DSWP2028","1",0.0612
"DSWP2028","2",0.065
"DSWP2028","3",0.0735
"DSWP2028","4",0.0838
"DSWP2028","5",0.1232
"DSWP2029","1",0.1763
"DSWP2029","2",0.1556
"DSWP2029","3",0.1474
"DSWP2029","4",0.1521
"DSWP2029","5",0.1513
"DSWP2029","6",0.1575
"DSWP2029","7",0.207
"DSWP2030","1",0.2298
"DSWP2030","2",0.2815
"DSWP2030","3",0.1756
"DSWP2030","4",0.1475
"DSWP2031","1",0.221
"DSWP2031","2",0.2632
"DSWP2031","3",0.1725
"DSWP2031","4",0.1559
"DSWP2032","1",0.2405
"DSWP2032","2",0.2658
"DSWP2032","3",0.1751
"DSWP2032","4",0.1514
"DSWP2033","1",0.2487
"DSWP2033","2",0.2665
"DSWP2033","3",0.1806
"DSWP2033","4",0.1466
"DSWP2034","1",0.2556
"DSWP2034","2",0.2705
"DSWP2034","3",0.1683
"DSWP2034","4",0.1555
"DSWP2035","1",0.2507
"DSWP2035","2",0.2709
"DSWP2035","3",0.1883
"DSWP2035","4",0.1395
"DSWP2036","1",0.2615
"DSWP2036","2",0.2854
"DSWP2036","3",0.1758
"DSWP2036","4",0.1564
"DSWP2643","1",0.094
"DSWP2643","2",0.074
"DSWP2643","3",0.063
"DSWP2643","4",0.069
"DSWP2644","1",0.143
"DSWP2644","2",0.091
"DSWP2644","3",0.09
"DSWP2644","4",0.08
"DSWP2644","5",0.091
"DSWP2645","1",0.14
"DSWP2645","2",0.093
"DSWP2645","3",0.089
"DSWP2645","4",0.087
"DSWP2645","5",0.113
"DSWP2646","1",0.036
"DSWP2646","2",0.039
"DSWP2646","3",0.043
"DSWP2646","4",0.042
"DSWP2646","5",0.044
"DSWP2646","6",0.046
"DSWP2646","7",0.055
"DSWP2647","1",0.038
"DSWP2647","2",0.038
"DSWP2647","3",0.032
"DSWP2647","4",0.045
"DSWP2647","5",0.038
"DSWP2647","6",0.038
"DSWP2647","7",0.039
"DSWP2647","8",0.043
"DSWP2650","1",0.091
"DSWP2650","2",0.082
"DSWP2650","3",0.081
"DSWP2650","4",0.102
"DSWP2651","1",0.039
"DSWP2651","2",0.034
"DSWP2651","3",0.042
"DSWP2651","4",0.028
"DSWP2651","5",0.04
"DSWP2651","6",0.033
"DSWP2651","7",0.04
"DSWP2651","8",0.056
"DSWP2652","1",0.083
"DSWP2652","2",0.091
"DSWP2652","3",0.069
"DSWP2652","4",0.07
"DSWP2653","1",0.082
"DSWP2653","2",0.097
"DSWP2653","3",0.081
"DSWP2653","4",0.091
"DSWP2654","1",0.099
"DSWP2654","2",0.083
"DSWP2654","3",0.078
"DSWP2654","4",0.078
"DSWP2655","1",0.117
"DSWP2655","2",0.081
"DSWP2655","3",0.079
"DSWP2655","4",0.091
"DSWP2656","1",0.135
"DSWP2656","2",0.088
"DSWP2656","3",0.08
"DSWP2656","4",0.083
"DSWP2657","1",0.096
"DSWP2657","2",0.1
"DSWP2657","3",0.073
"DSWP2657","4",0.064
"DSWP2658","1",0.112
"DSWP2658","2",0.076
"DSWP2658","3",0.07
"DSWP2658","4",0.071
"DSWP2659","1",0.114
"DSWP2659","2",0.092
"DSWP2659","3",0.077
"DSWP2659","4",0.081
"DSWP2660","1",0.033
"DSWP2660","2",0.032
"DSWP2660","3",0.032
"DSWP2660","4",0.031
"DSWP2660","5",0.031
"DSWP2660","6",0.038
"DSWP2660","7",0.045
"DSWP2660","8",0.057
"DSWP2662","1",0.1
"DSWP2662","2",0.111
"DSWP2662","3",0.08
"DSWP2662","4",0.066
"DSWP2663","1",0.103
"DSWP2663","2",0.113
"DSWP2663","3",0.063
"DSWP2663","4",0.058
"DSWP2664","1",0.096
"DSWP2664","2",0.109
"DSWP2664","3",0.067
"DSWP2664","4",0.06
"DSWP2665","1",0.107
"DSWP2665","2",0.107
"DSWP2665","3",0.064
"DSWP2665","4",0.059
"DSWP2666","1",0.095
"DSWP2666","2",0.123
"DSWP2666","3",0.063
"DSWP2666","4",0.058
"DSWP2667","1",0.09
"DSWP2667","2",0.111
"DSWP2667","3",0.069
"DSWP2667","4",0.063
"DSWP2668","1",0.085
"DSWP2668","2",0.097
"DSWP2668","3",0.071
"DSWP2668","4",0.075
"DSWP2669","1",0.112
"DSWP2669","2",0.085
"DSWP2669","3",0.071
"DSWP2669","4",0.055
"DSWP2670","1",0.093
"DSWP2670","2",0.121
"DSWP2670","3",0.064
"DSWP2670","4",0.057
"DSWP2671","1",0.105
"DSWP2671","2",0.098
"DSWP2671","3",0.08
"DSWP2671","4",0.078
"DSWP2672","1",0.105
"DSWP2672","2",0.084
"DSWP2672","3",0.073
"DSWP2672","4",0.087
"DSWP2673","1",0.081
"DSWP2673","2",0.077
"DSWP2673","3",0.074
"DSWP2673","4",0.08
"DSWP2674","1",0.135
"DSWP2674","2",0.09
"DSWP2674","3",0.077
"DSWP2674","4",0.078
"DSWP2675","1",0.103
"DSWP2675","2",0.087
"DSWP2675","3",0.087
"DSWP2675","4",0.092
"DSWP2676","1",0.092
"DSWP2676","2",0.086
"DSWP2676","3",0.081
"DSWP2676","4",0.08
"DSWP2677","1",0.036
"DSWP2677","2",0.04
"DSWP2677","3",0.049
"DSWP2677","4",0.053
"DSWP2677","5",0.058
"DSWP2677","6",0.068
"DSWP2678","1",0.064
"DSWP2678","2",0.038
"DSWP2678","3",0.042
"DSWP2678","4",0.052
"DSWP2678","5",0.032
"DSWP2678","6",0.06
"DSWP2678","7",0.074
"DSWP2679","1",0.108
"DSWP2679","2",0.101
"DSWP2679","3",0.061
"DSWP2679","4",0.056
"DSWP2680","1",0.118
"DSWP2680","2",0.078
"DSWP2680","3",0.08
"DSWP2680","4",0.085
"DSWP2681","1",0.105
"DSWP2681","2",0.082
"DSWP2681","3",0.081
"DSWP2681","4",0.086
"DSWP2682","1",0.116
"DSWP2682","2",0.076
"DSWP2682","3",0.073
"DSWP2682","4",0.077
"DSWP2683","1",0.084
"DSWP2683","2",0.082
"DSWP2683","3",0.089
"DSWP2683","4",0.078
"DSWP2684","1",0.118
"DSWP2684","2",0.082
"DSWP2684","3",0.072
"DSWP2684","4",0.091
"DSWP2685","1",0.127
"DSWP2685","2",0.099
"DSWP2685","3",0.067
"DSWP2685","4",0.059
"DSWP2686","1",0.102
"DSWP2686","2",0.083
"DSWP2686","3",0.078
"DSWP2686","4",0.084
"DSWP2686","5",0.1
"DSWP2687","1",0.035
"DSWP2687","2",0.038
"DSWP2687","3",0.036
"DSWP2687","4",0.037
"DSWP2687","5",0.036
"DSWP2687","6",0.063
"DSWP2687","7",0.054
"DSWP2688","1",0.035
"DSWP2688","2",0.037
"DSWP2688","3",0.036
"DSWP2688","4",0.038
"DSWP2688","5",0.05
"DSWP2688","6",0.053
"DSWP2688","7",0.059
"DSWP2689","1",0.038
"DSWP2689","2",0.042
"DSWP2689","3",0.043
"DSWP2689","4",0.043
"DSWP2689","5",0.048
"DSWP2689","6",0.059
"DSWP2689","7",0.104
"DSWP2690","1",0.039
"DSWP2690","2",0.038
"DSWP2690","3",0.037
"DSWP2690","4",0.039
"DSWP2690","5",0.042
"DSWP2690","6",0.049
"DSWP2690","7",0.062
"DSWP2690","8",0.078
"DSWP2698","1",0.063
"DSWP2698","2",0.076
"DSWP2698","3",0.091
"DSWP2699","1",0.255
"DSWP2699","2",0.172
"DSWP2699","3",0.121
"DSWP2700","1",0.346
"DSWP2700","2",0.35
"DSWP2700","3",0.218
"DSWP2700","4",0.17
"DSWP2701","1",0.342
"DSWP2701","2",0.283
"DSWP2701","3",0.222
"DSWP2701","4",0.153
"DSWP2702","1",0.327
"DSWP2702","2",0.309
"DSWP2702","3",0.204
"DSWP2702","4",0.157
"DSWP2703","1",0.306
"DSWP2703","2",0.291
"DSWP2703","3",0.184
"DSWP2703","4",0.143
"DSWP2704","1",0.287
"DSWP2704","2",0.281
"DSWP2704","3",0.214
"DSWP2704","4",0.142
"DSWP2705","1",0.329
"DSWP2705","2",0.32
"DSWP2705","3",0.229
"DSWP2705","4",0.156
"DSWP2706","1",0.369
"DSWP2706","2",0.335
"DSWP2706","3",0.197
"DSWP2706","4",0.165
"DSWP2707","1",0.393
"DSWP2707","2",0.366
"DSWP2707","3",0.226
"DSWP2707","4",0.18
"DSWP2708","1",0.38
"DSWP2708","2",0.367
"DSWP2708","3",0.215
"DSWP2708","4",0.181
"DSWP2709","1",0.12
"DSWP2709","2",0.128
"DSWP2709","3",0.129
"DSWP2709","4",0.135
"DSWP2710","1",0.267
"DSWP2710","2",0.246
"DSWP2710","3",0.169
"DSWP2710","4",0.132
"DSWP2711","1",0.242
"DSWP2711","2",0.231
"DSWP2711","3",0.171
"DSWP2711","4",0.145
"DSWP2712","1",0.333
"DSWP2712","2",0.328
"DSWP2712","3",0.184
"DSWP2712","4",0.157
"DSWP2713","1",0.432
"DSWP2713","2",0.417
"DSWP2713","3",0.201
"DSWP2713","4",0.19
"DSWP2714","1",0.446
"DSWP2714","2",0.404
"DSWP2714","3",0.18
"DSWP2714","4",0.2
"DSWP2715","1",0.43
"DSWP2715","2",0.38
"DSWP2715","3",0.207
"DSWP2715","4",0.195
"DSWP2716","1",0.424
"DSWP2716","2",0.399
"DSWP2716","3",0.18
"DSWP2716","4",0.165
"DSWP2717","1",0.408
"DSWP2717","2",0.38
"DSWP2717","3",0.183
"DSWP2717","4",0.168
"DSWP2718","1",0.392
"DSWP2718","2",0.361
"DSWP2718","3",0.203
"DSWP2718","4",0.169
"DSWP2719","1",0.429
"DSWP2719","2",0.415
"DSWP2719","3",0.176
"DSWP2719","4",0.172
"DSWP2720","1",0.418
"DSWP2720","2",0.372
"DSWP2720","3",0.196
"DSWP2720","4",0.143
"DSWP2721","1",0.327
"DSWP2721","2",0.304
"DSWP2721","3",0.22
"DSWP2721","4",0.171
"DSWP2722","1",0.33
"DSWP2722","2",0.312
"DSWP2722","3",0.209
"DSWP2722","4",0.132
"DSWP2723","1",0.288
"DSWP2723","2",0.284
"DSWP2723","3",0.2
"DSWP2723","4",0.145
"DSWP2724","1",0.241
"DSWP2724","2",0.256
"DSWP2724","3",0.191
"DSWP2724","4",0.14
"DSWP2725","1",0.118
"DSWP2725","2",0.142
"DSWP2725","3",0.13
"DSWP2725","4",0.127
"DSWP2726","1",0.276
"DSWP2726","2",0.282
"DSWP2726","3",0.178
"DSWP2726","4",0.147
"DSWP2727","1",0.293
"DSWP2727","2",0.29
"DSWP2727","3",0.22
"DSWP2727","4",0.143
"DSWP2728","1",0.32
"DSWP2728","2",0.305
"DSWP2728","3",0.211
"DSWP2728","4",0.153
"DSWP2729","1",0.385
"DSWP2729","2",0.356
"DSWP2729","3",0.255
"DSWP2729","4",0.178
"DSWP2730","1",0.392
"DSWP2730","2",0.344
"DSWP2730","3",0.222
"DSWP2730","4",0.164
"DSWP2731","1",0.182
"DSWP2731","2",0.161
"DSWP2731","3",0.142
"DSWP2731","4",0.143
"DSWP2732","1",0.441
"DSWP2732","2",0.383
"DSWP2732","3",0.165
"DSWP2732","4",0.153
"DSWP2733","1",0.418
"DSWP2733","2",0.402
"DSWP2733","3",0.163
"DSWP2733","4",0.182
"DSWP2734","1",0.359
"DSWP2734","2",0.302
"DSWP2734","3",0.234
"DSWP2734","4",0.166
"DSWP2735","1",0.034
"DSWP2735","2",0.053
"DSWP2735","3",0.064
"DSWP2735","4",0.068
"DSWP2735","5",0.104
"DSWP2736","1",0.036
"DSWP2736","2",0.134
"DSWP2736","3",0.134
"DSWP2736","4",0.144
"DSWP2736","5",0.132
"DSWP2737","1",0.399
"DSWP2737","2",0.382
"DSWP2737","3",0.222
"DSWP2737","4",0.174
"DSWP2737","5",0.224
"DSWP2738","1",0.029
"DSWP2738","2",0.058
"DSWP2738","3",0.058
"DSWP2738","4",0.062
"DSWP2738","5",0.079
"DSWP2738","6",0.044
"DSWP2738","7",0.045
"DSWP2739","1",0.133
"DSWP2739","2",0.094
"DSWP2739","3",0.081
"DSWP2739","4",0.075
"DSWP2739","5",0.083
"DSWP2739","6",0.086
"DSWP2739","7",0.112
"DSWP2741","1",0.106
"DSWP2741","2",0.077
"DSWP2741","3",0.074
"DSWP2741","4",0.084
"DSWP2742","1",0.11
"DSWP2742","2",0.077
"DSWP2742","3",0.074
"DSWP2742","4",0.075
"DSWP2743","1",0.105
"DSWP2743","2",0.084
"DSWP2743","3",0.09
"DSWP2743","4",0.081
"DSWP2744","1",0.114
"DSWP2744","2",0.078
"DSWP2744","3",0.073
"DSWP2744","4",0.067
"DSWP2745","1",0.107
"DSWP2745","2",0.077
"DSWP2745","3",0.07
"DSWP2745","4",0.081
"DSWP2746","1",0.108
"DSWP2746","2",0.09
"DSWP2746","3",0.07
"DSWP2746","4",0.07
"DSWP2747","1",0.109
"DSWP2747","2",0.091
"DSWP2747","3",0.074
"DSWP2747","4",0.075
"DSWP2748","1",0.111
"DSWP2748","2",0.089
"DSWP2748","3",0.071
"DSWP2748","4",0.07
"DSWP2749","1",0.117
"DSWP2749","2",0.097
"DSWP2749","3",0.078
"DSWP2749","4",0.069
"DSWP2750","1",0.053
"DSWP2750","2",0.054
"DSWP2750","3",0.059
"DSWP2750","4",0.066
"DSWP2750","5",0.074
"DSWP2751","1",0.034
"DSWP2751","2",0.034
"DSWP2751","3",0.036
"DSWP2751","4",0.04
"DSWP2751","5",0.042
"DSWP2751","6",0.049
"DSWP2751","7",0.053
"DSWP2752","1",0.052
"DSWP2752","2",0.032
"DSWP2752","3",0.033
"DSWP2752","4",0.033
"DSWP2752","5",0.034
"DSWP2752","6",0.035
"DSWP2752","7",0.039
"DSWP2753","1",0.032
"DSWP2753","2",0.033
"DSWP2753","3",0.032
"DSWP2753","4",0.036
"DSWP2753","5",0.05
"DSWP2753","6",0.058
"DSWP2753","7",0.074
"DSWP2754","1",0.034
"DSWP2754","2",0.034
"DSWP2754","3",0.036
"DSWP2754","4",0.041
"DSWP2754","5",0.042
"DSWP2754","6",0.044
"DSWP2754","7",0.046
"DSWP2754","8",0.092
"DSWP2755","1",0.034
"DSWP2755","2",0.035
"DSWP2755","3",0.032
"DSWP2755","4",0.041
"DSWP2755","5",0.037
